V,V1,V2,V3
P01SVRKJSM,0,0.010338565,0
P01XRKOA,0,0.028511039,0
P01LXRKOA2,0,0.007555482,0
V00WPRKN5,-0.000442077,0,0
V00DIRKN8,-0.028088097,0,0
V00WPLKN1,0,0,0.124636009
V00DILKN8,-0.09636338,0,0
V00KOOSFX5,-0.129611519,0,0
V00WOMKPL,0,0,1.05981104
P01KPA30CV,-0.00126967,0,0
V00SMOKE,0,0.009514719,0
V00CESD6,-0.005490009,0,0
V00CESD11,0,0.069218317,0
V00FFQ37,0,0.059485891,0
V00FFQSZ61,-0.012786937,0,0
V00DTOLEC,0,0.008795877,0
V00DTGEN,0.021859997,0,0
V00STEPST1,-0.007675144,0.074261287,0
V00LKEFFPT,0,0.008538429,0
V00LKMTTPN,0,0.000845067,0
V00400MTR,0.020324163,0,0
