V,V1,V2,V3
P01SVRKJSM,0,0.042055079,0
P01SVRKJSL,0.008391707,0,0
P01LXRKOA2,0,0.084566426,0
V00SF4,0,-0.005735185,0
V00WPRKN5,-0.057808396,0,0
V00DIRKN8,0,0.037627274,0
V00WPLKN1,0,0,0.120288869
V00WPLKN4,0,0,0.001817188
V00KPLKN3,-0.050064774,0,0
V00DILKN8,-0.028924179,0,0
V00DILKN16,-0.009287997,0,0
V00KOOSFX5,-0.103104729,0,0
V00WOMKPL,0,0,1.044203701
V00CESD6,-0.0339855,0,0
V00CESD11,0,0.055073501,0
V00FFQ33,0,0.016327583,0
V00FFQ37,0,0.047550357,0
V00RLARM,0.01317767,0,0
V00STEPST1,0,0.132663194,0
V00LKMTTPN,0,0.003822251,0
