"V1","V2","V3"
"V00FFQ90",0.00359819988889191,0,0
"V00RLARM",0,-0.031837212303127,0
"V00STEPST1",0,0.113980436204687,0
"V00LKMTTPN",0,0.0280607418331043,0
"P01HEIGHT",0.00972637022495531,0,0
"P01RH1CV",-0.0142395925450066,0,0
"V00400EXCL",-8.73757983307052e-05,0,0
"V00MARITST",0.0124268872817692,0,0
"V1","V2","V3"
"P01LXRKOA",0,0.0802064632614956,0
"P01SVLKOST",-0.00362655645972543,0,0
"P01SVRKJSM",0,0.0269168438341957,0
"P01SVRKJSL",0.0511865175279576,0,0
"P01LXRKOA2",0,0.0359007322488673,0
"V00SF5",0,-0.045713306847091,0
"V00WPRKN1",0,0,0.0826859010626775
"V00WPRKN3",0,0,0.0263508732328698
"V00WPRKN4",-0.014851837371823,0,0
"V00KPRKN2",-0.00109144365531084,0,0
"V00DIRKN11",0,0.0592748819082652,0
"V00DIRKN16",0,0.00756380564333199,0
"V00WPLKN1",0,0,0.295966453541601
"V00WPLKN3",0,0,0.171863419902564
"V00KPLKN3",-0.0632720971975556,0,0
"V00DILKN8",-0.0312260646006774,0,0
"V00KOOSFX5",-0.11894532832212,0,0
"V00WOMKPR",-0.0913821643740802,0,0.766888051079511
"V00SMOKE",0,0.0630667681321929,0
"V00CESD11",-0.0615312704199633,0,0
"V00FFQ35",0,0.0211459311592427,0
"V00FFQ37",0,0.0608670001241516,0
"V00FFQ40",0,0.0274137979282546,0
"V00DTANZN",0,0.0114243302957511,0
"V00DTSFAT",0,0.0870824311725669,0
"V00CSTSGL",0,0.0195996006927323,0
"V00STEPST1",0,0.100944120241324,0
"V00LKRFXPN",-0.0187250823871088,0,0
"V00LKPGDPN",-0.0182645269627552,0,0
"P01HEIGHT",0.00665850124994719,0,0
"P02FAMHXKR",0,0.0107027168119508,0
"P02KRS3CV",-0.0101023541339442,0,0
"V1","V2","V3"
"P01LXRKOA",0,0.123996267735155,0
"P01SVRKJSM",0,0.0552020747254005,0
"P01SVRKJSL",0.030559805640963,0,0
"V00SF5",0,-0.0136002428658285,0
"V00WPRKN3",0,0,0.0187700251110983
"V00DIRKN16",-0.0373913817437853,0,0
"V00WPLKN1",0,0,0.252338282798683
"V00KPLKN3",-0.078986655419311,0,0
"V00DILKN2",-0.0141426677199816,0,0
"V00DILKN8",-0.0272670668844405,0,0
"V00DILKN10",-0.0277531244041444,0,0
"V00DILKN16",-0.034128102517647,0,0
"V00KOOSFX5",-0.142958189594213,0,0
"V00WOMKPR",0,0,0.149529910986781
"V00WOMKPL",0,0,0.816690438854775
"P01KPA30CV",-0.031857199358328,0,0
"P01INJL",0.0023739135297804,0,0
"V00CESD6",-0.0379312987266469,0,0
"V00CESD11",-0.0168280739274197,0.043389446997198,0
"V00FFQ14",-0.0154080166372275,0,0
"V00FFQ33",0,0.0581282656224494,0
"V00FFQ37",0,0.0350470582179911,0
"V00FFQSZ61",-0.0933833623526709,0,0
"V00DTSFAT",0,0.000618858168320966,0
"V00DTGEN",0.0154498510552153,0,0
"V00CSTSGL",0,0.0488149295215701,0
"V00TRANSET",0.00586827296146246,0,0
"V00STEPST1",-0.0194129934293247,0.14722755266694,0
"V00LKEFFPT",0,0.0121165436679242,0
"V00RKABPN",-0.00586795459253968,0,0
"V00LKMTTPN",0,0.0444962242591219,0
"V00RKPFCRE",0,0.00392244219091016,0
"V00RKPGDPN",-0.00169397933834847,0,0
"V00LKPGDPN",-0.032916045186005,0,0
"P01RH4CV",0,0.00596082269704441,0
"V00LFXP1CV",-0.0382256705675124,0,0
"V00LKALNMT",0,0.014901919057543,0
"V1","V2","V3"
"P01LXRKOA",0,0.0774141852881325,0
"P01SVRKJSM",0,0.0817175935426374,0
"P01SVRKJSL",0.0138488339429138,0,0
"P01LXRKOA2",0,0.00723203837929374,0
"P01OAGRDL",0,0.0044666236173426,0
"V00WPRKN3",-0.0180240842836066,0,0.138366375330781
"V00DIRKN14",0,-0.0369738137725125,0
"V00DIRKN16",-0.018265771520717,0,0
"V00WPLKN1",0,0,0.286341306528476
"V00KPLKN3",-0.125983925860971,0,0
"V00DILKN2",0,0,0.0228596588403009
"V00DILKN8",-0.0282607104477296,0,0
"V00DILKN16",-0.0698653351483999,0,0
"V00KOOSFX5",-0.101183150914332,0,0
"V00WOMKPR",0,0,0.294607182533225
"V00WOMKPL",0,0,0.514175651218383
"P01KPA30CV",-0.0124945300889454,0,0
"V00CESD11",0,0.0614901673893854,0
"V00CESD12",0,-0.000954388867055152,0
"V00CESD16",0,-0.0466684446618678,0
"V00FFQ31",0,0.0170109156369689,0
"V00FFQ33",0,0.0231504488017579,0
"V00FFQ35",-0.00601999956580788,0,0
"V00FFQ37",0,0.028766083153894,0
"V00FFQ40",0,0.0195664061854048,0
"V00FFQSZ61",-0.0704460836721657,0,0
"V00FFQ64",0,0.02395734920419,0
"V00DTSFAT",0,0.0421337617320846,0
"V00DTGEN",0.0168515870018438,0,0
"V00RLARM",0,-0.0036848203799603,0
"V00TRANSET",0,-0.000176517150987126,0
"V00STEPST1",0,0.118291423551631,0
"V00LKEFFPT",0,0.0495630086461399,0
"P01RH1CV",-0.0216143210242064,0,0
"V00retrial",0.000607927077551229,0,0
"V00400EXCL",-0.0387726830875845,0,0
"V00MARITST",0.0113572577048833,0,0
"V1","V2","V3"
"P01LXRKOA",0,0.0844953261276294,0
"P01SVRKJSM",0,0.0853211498231441,0
"V00WPRKN5",-0.0332288902434624,0,0
"V00KPRKN2",-0.0374353127946173,0,0
"V00KSXRKN1",-0.0114123290408918,0,0
"V00DIRKN8",0,0.00096447478536543,0
"V00DIRKN11",0,0.00499692643579079,0
"V00WPLKN1",0,0,0.273592536140606
"V00WPLKN3",0,0,0.099694683352791
"V00KPLKN3",-0.0339908195086225,0,0
"V00DILKN8",-0.0184051495487679,0,0
"V00DILKN16",-0.0461653675535904,0,0
"V00KOOSFX5",-0.0899376247990338,0.0352205376045243,0
