V,V1,V2,V3
P01SVRKJSM,0,0.036615654,0
P01OAGRDR,0,0.052883459,0
V00SF8,0,6.43E-06,0
V00WPRKN1,-0.016024337,0,0.279559666
V00WPRKN2,0,0,0.04392188
V00DILKN8,0,0.094524541,0
V00KQOL4,-0.065811856,0,0
V00WOMKPR,0,0,0.843959736
V00KOOSYML,0,-0.004851043,0
P01BL12SXL,0.005901672,0,0
P01BL12SXR,0.029909522,0,0
V00CESD3,0,0.060649354,0
V00CESD11,-0.041661065,0.001527019,0
V00NSAIDS,-0.065795584,0,0
V00RX30,-0.014917911,0,0
V00PSMKYR,0.007365188,0,0
V00FFQSZ25,0,0.007066953,0
V00FFQSZ61,-0.024837847,0,0
V00FFQSZ62,0,0.027189263,0
V00FFQ69,0,0.015679221,0
V00DTSFAT,0,0.03687145,0
V00LKPFCRE,0,0.033186912,0
V00EDCV,0.001981647,0,0
