V,V1,V2,V3
P01SVRKJSM,0,0.056054334,0
P01OAGRDR,0,0.035818914,0
V00WPRKN1,0,0,0.137257036
V00DILKN8,0,0.079191249,0
V00DILKN10,-0.015810989,0,0
V00KQOL4,-0.042919196,0,0
V00WOMKPR,0,0,0.995708918
P01BL12SXL,0.015557884,0,0
P01BL12SXR,0.025640359,0,0
V00CESD3,0,0.032582944,0
V00CESD11,-0.058579251,0,0
V00NSAIDS,-0.042279887,0.008032558,0
V00RX30,-0.059157913,0,0
V00COMORB,-0.063257285,0,0
V00FFQSZ61,-0.038774971,0,0
V00PCTSWT,0,0.007489193,0
V00DTSFAT,0,0.053141229,0
V00LKPFCRE,-0.008152996,0,0
P01HEIGHT,0.016277971,0,0
V00LEXP2CV,-0.019758947,0,0
V00HLTHCAR,0,0.016967364,0
V00PASE4,0,-0.070206827,0
V00EDCV,0.001769029,0,0
