V,V1,V2,V3
P01SVRKJSM,0,0.057663297,0
P01OAGRDR,0,0.001473144,0
V00SF8,0,0.006896024,0
V00WPRKN1,-0.008263927,0,0.172262552
V00WPRKN2,0,0,0.097955307
V00DILKN8,0,0.075719841,0
V00KQOL4,-0.067740088,0,0
V00HSPSS,0,-0.04783493,0
V00WOMKPR,0,0,0.879924982
V00KOOSYML,0,-0.012642475,0
P01BL12SXL,0.023491598,0,0
P01BL12SXR,0.01355502,0,0
V00CESD3,0,0.00047681,0
V00CESD11,-0.08166678,0.002329028,0
V00NSAIDS,-0.044951913,0.043345318,0
V00RX30,-0.010463435,0,0
V00COMORB,-0.024695573,0,0
V00PSMKYR,0.036430586,0,0
V00FFQSZ61,-0.07078571,0.000777278,0
V00DTSFAT,0,0.021910652,0
V00STEPST1,0,0.014066616,0
V00LKPGDPN,-0.031106376,0,0
V00PASE4,0,-0.039546462,0
