V,V1,V2,V3
P01SVRKJSM,0,0.016226587,0
P01OAGRDR,0,0.022732561,0
V00SF5,0,-0.014911479,0
V00WPRKN1,0,0,0.257002479
V00WPRKN2,0,0,0.022531492
V00WPLKN3,-0.003747811,0,0
V00DILKN8,0,0.03870821,0
V00DILKN17,-0.008410497,0,0
V00KOOSFX5,-0.024013268,0,0
V00KQOL4,-0.038706202,0,0
V00HSPSS,0,-0.028333955,0
V00WOMKPR,0,0,0.863862941
P01BL12SXR,0.014613414,0,0
V00CESD3,0,0.015302044,0
V00CESD11,-0.042772811,0,0
V00NSAIDS,-0.048448364,0.040620153,0
V00RX30,-0.039779992,0,0
V00COMORB,-0.022350302,0,0
V00PSMKYR,0.020372674,0,0
V00FFQ33,0,0.030000023,0
V00FFQSZ61,-0.042669786,0,0
V00FFQ69,0,0.019925255,0
V00DTSFAT,0,0.019732306,0
V00CSTSGL,0,0.032069794,0
V00REXPN,-0.006641776,0,0
V00HR400WK,0.005289404,0,0
V00LKPFCRE,0,0.013889383,0
V00LKPGDPN,-0.018890152,0,0
V00HLTHCAR,0,0.001948531,0
V00PASE4,0,-0.043021081,0
V00PASE6,-0.005261297,0,0
